day,image,pull_count
2021-12-08,marquezproject/marquez,419817
2021-12-08,marquezproject/marquez-web,172760
2021-12-07,marquezproject/marquez,419756
2021-12-07,marquezproject/marquez-web,172710
2021-12-06,marquezproject/marquez,419686
2021-12-06,marquezproject/marquez-web,172657
2021-12-05,marquezproject/marquez,419641
2021-12-05,marquezproject/marquez-web,172607
2021-12-04,marquezproject/marquez,419609
2021-12-04,marquezproject/marquez-web,172580
2021-12-03,marquezproject/marquez,419569
2021-12-03,marquezproject/marquez-web,172555
2021-12-02,marquezproject/marquez,419521
2021-12-02,marquezproject/marquez-web,172507
2021-12-01,marquezproject/marquez,419470
2021-12-01,marquezproject/marquez-web,172455
2021-11-30,marquezproject/marquez,419414
2021-11-30,marquezproject/marquez-web,172414
2021-11-29,marquezproject/marquez,419343
2021-11-29,marquezproject/marquez-web,172367
2021-11-28,marquezproject/marquez,419299
2021-11-28,marquezproject/marquez-web,172330
2021-11-27,marquezproject/marquez,419265
2021-11-27,marquezproject/marquez-web,172299
2021-11-26,marquezproject/marquez,419239
2021-11-26,marquezproject/marquez-web,172276
2021-11-25,marquezproject/marquez,419202
2021-11-25,marquezproject/marquez-web,172242
2021-11-24,marquezproject/marquez,419144
2021-11-24,marquezproject/marquez-web,172204
2021-11-23,marquezproject/marquez,419062
2021-11-23,marquezproject/marquez-web,172146
2021-11-22,marquezproject/marquez,418985
2021-11-22,marquezproject/marquez-web,172078
2021-11-21,marquezproject/marquez,418945
2021-11-21,marquezproject/marquez-web,172036
2021-11-20,marquezproject/marquez,418910
2021-11-20,marquezproject/marquez-web,172011
2021-11-19,marquezproject/marquez,418872
2021-11-19,marquezproject/marquez-web,171979
2021-11-18,marquezproject/marquez,418821
2021-11-18,marquezproject/marquez-web,171936
2021-11-17,marquezproject/marquez,418780
2021-11-17,marquezproject/marquez-web,171900
2021-11-16,marquezproject/marquez,418703
2021-11-16,marquezproject/marquez-web,171843
2021-11-15,marquezproject/marquez,418636
2021-11-15,marquezproject/marquez-web,171792
2021-11-14,marquezproject/marquez,418464
2021-11-14,marquezproject/marquez-web,171732
2021-11-13,marquezproject/marquez,418431
2021-11-13,marquezproject/marquez-web,171700
2021-11-12,marquezproject/marquez,418397
2021-11-12,marquezproject/marquez-web,171666
2021-11-11,marquezproject/marquez,418336
2021-11-11,marquezproject/marquez-web,171622
2021-11-10,marquezproject/marquez,418269
2021-11-10,marquezproject/marquez-web,171574
2021-11-09,marquezproject/marquez,418195
2021-11-09,marquezproject/marquez-web,171519
2021-11-08,marquezproject/marquez,418104
2021-11-08,marquezproject/marquez-web,171454
2021-11-07,marquezproject/marquez,418034
2021-11-07,marquezproject/marquez-web,171407
2021-11-06,marquezproject/marquez,417993
2021-11-06,marquezproject/marquez-web,171380
2021-11-05,marquezproject/marquez,417945
2021-11-05,marquezproject/marquez-web,171344
2021-11-04,marquezproject/marquez,417834
2021-11-04,marquezproject/marquez-web,171288
2021-11-03,marquezproject/marquez,417763
2021-11-03,marquezproject/marquez-web,171235
2021-11-02,marquezproject/marquez,417703
2021-11-02,marquezproject/marquez-web,171186
2021-11-01,marquezproject/marquez,417638
2021-11-01,marquezproject/marquez-web,171101
2021-10-31,marquezproject/marquez,417573
2021-10-31,marquezproject/marquez-web,171049
2021-10-30,marquezproject/marquez,417388
2021-10-30,marquezproject/marquez-web,170985
