day,project,stars
2020-10-25,OpenLineage/openlineage,0
2020-10-26,OpenLineage/openlineage,1
2020-10-27,OpenLineage/openlineage,1
2020-10-28,OpenLineage/openlineage,1
2020-10-29,OpenLineage/openlineage,1
2020-10-30,OpenLineage/openlineage,1
2020-10-31,OpenLineage/openlineage,1
2020-11-01,OpenLineage/openlineage,1
2020-11-02,OpenLineage/openlineage,1
2020-11-03,OpenLineage/openlineage,2
2020-11-04,OpenLineage/openlineage,2
2020-11-05,OpenLineage/openlineage,2
2020-11-06,OpenLineage/openlineage,2
2020-11-07,OpenLineage/openlineage,2
2020-11-08,OpenLineage/openlineage,3
2020-11-09,OpenLineage/openlineage,3
2020-11-10,OpenLineage/openlineage,3
2020-11-11,OpenLineage/openlineage,3
2020-11-12,OpenLineage/openlineage,3
2020-11-13,OpenLineage/openlineage,3
2020-11-14,OpenLineage/openlineage,3
2020-11-15,OpenLineage/openlineage,3
2020-11-16,OpenLineage/openlineage,3
2020-11-17,OpenLineage/openlineage,3
2020-11-18,OpenLineage/openlineage,3
2020-11-19,OpenLineage/openlineage,3
2020-11-20,OpenLineage/openlineage,3
2020-11-21,OpenLineage/openlineage,3
2020-11-22,OpenLineage/openlineage,3
2020-11-23,OpenLineage/openlineage,3
2020-11-24,OpenLineage/openlineage,3
2020-11-25,OpenLineage/openlineage,3
2020-11-26,OpenLineage/openlineage,3
2020-11-27,OpenLineage/openlineage,3
2020-11-28,OpenLineage/openlineage,3
2020-11-29,OpenLineage/openlineage,3
2020-11-30,OpenLineage/openlineage,3
2020-12-01,OpenLineage/openlineage,3
2020-12-02,OpenLineage/openlineage,3
2020-12-03,OpenLineage/openlineage,5
2020-12-04,OpenLineage/openlineage,5
2020-12-05,OpenLineage/openlineage,6
2020-12-06,OpenLineage/openlineage,6
2020-12-07,OpenLineage/openlineage,6
2020-12-08,OpenLineage/openlineage,6
2020-12-09,OpenLineage/openlineage,6
2020-12-10,OpenLineage/openlineage,7
2020-12-11,OpenLineage/openlineage,10
2020-12-12,OpenLineage/openlineage,10
2020-12-13,OpenLineage/openlineage,10
2020-12-14,OpenLineage/openlineage,12
2020-12-15,OpenLineage/openlineage,15
2020-12-16,OpenLineage/openlineage,17
2020-12-17,OpenLineage/openlineage,19
2020-12-18,OpenLineage/openlineage,32
2020-12-19,OpenLineage/openlineage,46
2020-12-20,OpenLineage/openlineage,54
2020-12-21,OpenLineage/openlineage,67
2020-12-22,OpenLineage/openlineage,69
2020-12-23,OpenLineage/openlineage,72
2020-12-24,OpenLineage/openlineage,73
2020-12-25,OpenLineage/openlineage,77
2020-12-26,OpenLineage/openlineage,78
2020-12-27,OpenLineage/openlineage,83
2020-12-28,OpenLineage/openlineage,87
2020-12-29,OpenLineage/openlineage,89
2020-12-30,OpenLineage/openlineage,92
2020-12-31,OpenLineage/openlineage,94
2021-01-01,OpenLineage/openlineage,94
2021-01-02,OpenLineage/openlineage,95
2021-01-03,OpenLineage/openlineage,95
2021-01-04,OpenLineage/openlineage,104
2021-01-05,OpenLineage/openlineage,105
2021-01-06,OpenLineage/openlineage,110
2021-01-07,OpenLineage/openlineage,115
2021-01-08,OpenLineage/openlineage,116
2021-01-09,OpenLineage/openlineage,117
2021-01-10,OpenLineage/openlineage,119
2021-01-11,OpenLineage/openlineage,119
2021-01-12,OpenLineage/openlineage,120
2021-01-13,OpenLineage/openlineage,122
2021-01-14,OpenLineage/openlineage,125
2021-01-15,OpenLineage/openlineage,128
2021-01-16,OpenLineage/openlineage,128
2021-01-17,OpenLineage/openlineage,129
2021-01-18,OpenLineage/openlineage,130
2021-01-19,OpenLineage/openlineage,134
2021-01-20,OpenLineage/openlineage,137
2021-01-21,OpenLineage/openlineage,138
2021-01-22,OpenLineage/openlineage,140
2021-01-23,OpenLineage/openlineage,142
2021-01-24,OpenLineage/openlineage,142
2021-01-25,OpenLineage/openlineage,144
2021-01-26,OpenLineage/openlineage,146
2021-01-27,OpenLineage/openlineage,149
2021-01-28,OpenLineage/openlineage,151
2021-01-29,OpenLineage/openlineage,154
2021-01-30,OpenLineage/openlineage,154
2021-01-31,OpenLineage/openlineage,154
2021-02-01,OpenLineage/openlineage,157
2021-02-02,OpenLineage/openlineage,161
2021-02-03,OpenLineage/openlineage,162
2021-02-04,OpenLineage/openlineage,162
2021-02-05,OpenLineage/openlineage,162
2021-02-06,OpenLineage/openlineage,162
2021-02-07,OpenLineage/openlineage,162
2021-02-08,OpenLineage/openlineage,163
2021-02-09,OpenLineage/openlineage,165
2021-02-10,OpenLineage/openlineage,168
2021-02-11,OpenLineage/openlineage,168
2021-02-12,OpenLineage/openlineage,169
2021-02-13,OpenLineage/openlineage,169
2021-02-14,OpenLineage/openlineage,169
2021-02-15,OpenLineage/openlineage,170
2021-02-16,OpenLineage/openlineage,171
2021-02-17,OpenLineage/openlineage,172
2021-02-18,OpenLineage/openlineage,175
2021-02-19,OpenLineage/openlineage,176
2021-02-20,OpenLineage/openlineage,176
2021-02-21,OpenLineage/openlineage,177
2021-02-22,OpenLineage/openlineage,178
2021-02-23,OpenLineage/openlineage,178
2021-02-24,OpenLineage/openlineage,178
2021-02-25,OpenLineage/openlineage,179
2021-02-26,OpenLineage/openlineage,181
2021-02-27,OpenLineage/openlineage,181
2021-02-28,OpenLineage/openlineage,181
2021-03-01,OpenLineage/openlineage,183
2021-03-02,OpenLineage/openlineage,183
2021-03-03,OpenLineage/openlineage,184
2021-03-04,OpenLineage/openlineage,184
2021-03-05,OpenLineage/openlineage,184
2021-03-06,OpenLineage/openlineage,184
2021-03-07,OpenLineage/openlineage,185
2021-03-08,OpenLineage/openlineage,186
2021-03-09,OpenLineage/openlineage,187
2021-03-10,OpenLineage/openlineage,187
2021-03-11,OpenLineage/openlineage,188
2021-03-12,OpenLineage/openlineage,188
2021-03-13,OpenLineage/openlineage,188
2021-03-14,OpenLineage/openlineage,188
2021-03-15,OpenLineage/openlineage,188
2021-03-16,OpenLineage/openlineage,188
2021-03-17,OpenLineage/openlineage,189
2021-03-18,OpenLineage/openlineage,189
2021-03-19,OpenLineage/openlineage,190
2021-03-20,OpenLineage/openlineage,190
2021-03-21,OpenLineage/openlineage,192
2021-03-22,OpenLineage/openlineage,193
2021-03-23,OpenLineage/openlineage,194
2021-03-24,OpenLineage/openlineage,194
2021-03-25,OpenLineage/openlineage,197
2021-03-26,OpenLineage/openlineage,197
2021-03-27,OpenLineage/openlineage,197
2021-03-28,OpenLineage/openlineage,199
2021-03-29,OpenLineage/openlineage,200
2021-03-30,OpenLineage/openlineage,200
2021-03-31,OpenLineage/openlineage,200
2021-04-01,OpenLineage/openlineage,201
2021-04-02,OpenLineage/openlineage,202
2021-04-03,OpenLineage/openlineage,202
2021-04-04,OpenLineage/openlineage,202
2021-04-05,OpenLineage/openlineage,202
2021-04-06,OpenLineage/openlineage,202
2021-04-07,OpenLineage/openlineage,203
2021-04-08,OpenLineage/openlineage,204
2021-04-09,OpenLineage/openlineage,206
2021-04-10,OpenLineage/openlineage,206
2021-04-11,OpenLineage/openlineage,206
2021-04-12,OpenLineage/openlineage,206
2021-04-13,OpenLineage/openlineage,207
2021-04-14,OpenLineage/openlineage,207
2021-04-15,OpenLineage/openlineage,210
2021-04-16,OpenLineage/openlineage,210
2021-04-17,OpenLineage/openlineage,210
2021-04-18,OpenLineage/openlineage,211
2021-04-19,OpenLineage/openlineage,212
2021-04-20,OpenLineage/openlineage,213
2021-04-21,OpenLineage/openlineage,213
2021-04-22,OpenLineage/openlineage,216
2021-04-23,OpenLineage/openlineage,217
2021-04-24,OpenLineage/openlineage,217
2021-04-25,OpenLineage/openlineage,218
2021-04-26,OpenLineage/openlineage,219
2021-04-27,OpenLineage/openlineage,221
